24,24,24
56,56,56
121,121,121
203,203,203
255,255,255
252,60,60
60,252,60
0,153,230
252,126,0
252,252,0
125,105,80
225,189,144
252,99,63
153,198,81
0,58,104
255,0,0
64,255,64
0,0,192
0,105,105
255,128,0
255,255,0
228,228,228
228,228,228
84,20,20
20,84,20
0,40,84
84,42,0
84,84,0
75,63,48
75,63,48
84,33,21
51,66,27
126,30,30
30,126,30
0,71,122
112,56,0
112,112,0
75,63,48
100,84,64
112,44,28
68,88,36
189,45,45
45,189,45
0,112,179
168,84,0
168,168,0
100,84,64
150,126,96
168,66,42
102,132,54
82,82,82
163,163,163
196,196,196
